"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
3006852.34096488,1799130.29420346,1483782.25065382,1462985.43542705,1259072.83676431,2946687.60258489,3223732.252457,3192338.46041928,1396335.91415949,738360.35436863,605135.421174687,351748.361065827,701509.674469766,562247.159481831,182153.138362198,544411.754344897,831882.440378937,1043810.39139281,318076.837453181,621872.226460804,299526.723522898,772062.158377808,4141207.6464673,3508529.01021698,1339544.02743708,942994.013743574,426146.002830051,441670.759854147,1030845.01657945,2998280.75337035,4554959.05426938,1027432.20840496,34026.6411844686,482793.204675644,578868.721553365
3459676.41475613,1617007.01159879,1503719.91919149,1849634.09764955,1168044.98454981,2542605.6183417,3054864.34757662,2890169.45241327,1237219.03653128,649761.698749376,557419.013932856,334778.834554111,749930.800778215,505126.747782754,162166.681650083,455050.980646087,676899.703607364,854179.186239379,246896.056147783,613777.05568258,282697.324900184,786684.689305782,4213633.54174371,4321940.1514115,1457199.93740366,955504.494790872,410463.463183147,425474.324988264,811267.262353374,2302187.63255435,5146815.78836488,966697.757780422,33304.3768327736,360755.872979495,513535.924362893
2690345.01316669,1816437.48943973,1431940.64248196,1523906.37447484,1218196.02387184,2948993.68682179,2774531.46145473,2792024.40731941,1492967.48534547,821323.443715474,699631.140845869,362216.323885067,735359.457667541,463536.515515138,211638.306703877,515216.793318713,727070.73432118,689354.823077654,255781.904698586,502629.742630639,265416.601040995,724178.192889213,4433463.75070691,3594847.24444751,1388434.18111233,1022894.95475655,349903.596028117,323348.126074419,758256.457141509,2619532.81408942,4432310.81570485,1079891.33614832,35812.6212287362,557005.618843234,548996.970187322
2672055.03245449,1968820.02057266,1398609.49922688,1822483.64120353,1155905.94933985,3466995.74843781,3023723.37110237,3231434.04695001,1424315.98895843,694398.82268264,674067.56040124,332817.495451153,740879.478842871,482383.219115157,141306.478852842,415246.374387964,562348.824277629,977618.412022799,276818.392674928,576520.115939933,281670.963854648,818680.847440091,3589516.82425545,3581073.00881703,1639505.87450839,1078039.57298252,386788.472788612,401043.914928793,617597.286750119,2646117.2484581,5539382.0212083,852447.062218519,23785.9188874427,548023.476373174,485311.359769054
2495965.73423481,1713808.00526999,1294306.25529466,1883323.75932417,1217727.85046422,3457980.81392198,2896828.72218495,3252748.54431265,1482078.67141341,638347.236224868,699944.169726668,289883.595653492,782618.623931829,444754.599099993,189616.408802425,446474.845867222,826843.117584163,805093.378822335,278444.945696901,444968.288129591,261655.65030209,543213.41693485,3429668.8853681,3436940.235791,1957882.80680178,936273.491610913,408170.754859447,551155.109236361,725341.330523764,2722802.59354789,6050893.9326922,1440433.87986432,33418.2888898025,519192.690128517,566066.321492619
2725652.98048183,1726728.12362774,1243185.86541168,1740343.39433447,1104956.69246497,3032301.06670489,3001175.0191001,2861076.12709682,1472470.26379913,724099.920446961,711230.943612297,335264.244848939,728716.079202067,491118.297335967,169964.659169206,444518.710053798,613687.979103661,799550.757649015,293888.578732624,724749.948263648,325160.779677092,780592.923158021,4416430.56336335,3318296.09142893,1209686.19629954,889660.475188501,383541.230059069,480817.798935168,809384.00367669,2904105.13966865,4379284.56657514,789260.680136523,33056.5779395335,508407.574683698,515445.981577267
2896882.1231835,2124060.84197079,1611899.78338901,1916817.75560102,1184792.59374683,3271041.96062992,2712346.55226997,3188599.22825866,1290704.556191,809767.302245137,651135.742573973,330648.409732803,702274.625137017,478274.973596342,158049.996153566,471852.110146809,740455.611263344,1683463.6919069,301877.985575376,610287.306864301,273028.272976499,742507.324217708,4260274.23224357,3754574.17192512,1740949.99589958,1204974.03885653,454498.98225071,498309.664782591,764114.856353029,2660128.68174394,4870075.59208719,1070903.43379984,28699.311929385,492659.870360689,543149.285479848
2778774.95263288,1600925.82395371,1708115.36224985,1962517.97623507,1206279.735072,2723834.16624696,3049962.06621831,3256639.41228616,1472372.27864084,759739.941599384,678220.515147375,359362.42312636,672220.012201056,466175.135072189,179613.634092271,443179.973859384,711525.468741404,1030134.33438112,282710.411813201,593549.886460246,264736.332020361,656991.260742577,3958225.38674152,3472002.36379007,1367386.48603271,965544.301856439,444308.365410035,496128.724630988,818137.86162085,2724841.91233873,5023449.1769293,919328.469793409,33819.2940484594,533360.229954235,554770.904728392
2998006.27951849,1817693.11550622,1510777.7396597,2502944.70820475,1405753.79872794,3771225.15400279,3241029.33688399,3050126.2323246,1559662.89550218,761816.997943372,661761.893944597,400119.468567964,682388.41053063,560728.704901155,182828.998405788,486108.027802048,701747.097555369,958683.373507375,321363.842616488,587000.467369915,276226.798330841,644647.4195934,3799458.91310989,3401235.38627961,1571473.27410014,999406.307165361,440086.004872367,719596.411130472,666154.512447478,2734838.25395638,6152159.29347071,940129.401821768,35857.1189284739,634707.895152873,537464.628373418
3135272.93692652,1603038.86415212,1227651.06761837,1728008.10363293,1115079.1344384,2593593.53761565,3173692.9306423,2809098.32424225,1207017.37940653,656255.511727061,596827.375712961,355135.362309127,728546.367329972,778030.331278312,138089.087585118,488187.236953314,667045.488850802,783452.178693708,254484.851091971,692030.500896127,278277.705975247,645144.696479585,4651732.20882731,4280618.55255708,2422265.54371435,869050.328488957,383656.84634289,423123.11654768,732635.153131482,2533451.45743313,6278823.25659991,1322481.08964169,26976.376049122,401274.7757978,528984.476338215
