"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
1535946.47117733,1341904.29280504,2158295.58673415,638367.38407141,839585.441907238,1395822.23088262,1439390.18602101,2200223.4484477,1304222.93490516,1006429.315968,407594.259472008,301092.231900981,469758.762915469,273193.77815267,73067.9591974451,66375.2093943044,231872.925439413,190889.213005485,175682.339572269,211492.7779458,335955.167025578,356204.020389531,1676296.78704575,2947473.5701641,1183177.73474473,487732.727348571,122684.010201868,162078.553523154,109215.214672596,908510.726741475,1028753.05047265,1525429.09169091,55720.1841493206,96203.3172184449,242450.465268892
1647580.0131876,1885390.16585414,1751609.46452543,797230.92458446,800423.293905559,1569892.34505289,1416092.99264904,2098391.30354082,2013808.07931384,1177572.52337276,402571.355286555,285565.533309548,488405.850340057,363684.618376286,121780.964581494,78647.4694884573,312157.295794756,249929.389817357,162804.801006161,324267.366339942,385689.63335495,353852.165029835,1672313.95389022,2892932.90357561,1138095.16553989,528349.619242063,133009.129001647,231279.135334129,116324.100024237,860763.935006268,1252608.53449082,951682.483245395,52283.6514818239,104347.772443632,270099.517773167
1348911.39495321,1832760.80282131,1606546.88171772,876713.67641739,765346.034269754,1434402.10845275,1494422.76519472,2084307.4185695,1275673.54904788,984136.510664725,545863.979815909,282741.861803449,485929.407085114,302049.934150336,92915.2684468659,69012.1683839734,251445.480566499,228632.388110609,153420.927546885,246226.256526978,333476.130617426,390580.91928594,1634407.51875888,2621545.44975186,1022117.09985174,506764.146988569,143421.841681504,204750.299731218,117493.769179163,850720.907813368,868557.072613463,1275366.50257286,32359.6825162489,96343.101757536,230144.582383984
1452433.00028292,1338416.13293668,1637190.21747821,585467.220827439,879283.396111938,1356131.76051732,1439996.67802741,2067370.38595754,1126308.84140803,834461.317502219,392169.985587122,293039.218096531,487099.486737139,330741.329367054,84993.1952502372,87326.3441458185,348927.86375639,318042.828325342,184377.120587233,269512.218449203,366235.82395256,345088.238505691,1368066.71343067,2608343.01627576,1036336.73098695,492474.169810485,165983.400206335,196349.493945321,118527.540072375,932391.508249238,1031870.2405384,1432875.85990349,55507.9082968093,243848.097032753,262516.986675665
2011612.82485544,1350288.28932246,2692131.16200468,794029.148926957,787652.892038443,1241788.44240009,1428929.85091626,1776018.72999881,1063007.17972832,824513.174627701,406918.150056492,268476.176612454,503489.287834451,266614.816686845,99413.7468259066,81352.4041956841,331552.302314175,259892.861588646,166174.84819109,290633.608635546,341324.510281794,374242.955997645,1341516.69604252,3474717.38492588,1163056.66134133,529100.964076882,145457.893493998,218210.450949612,97282.547393144,711327.646027436,998145.03982808,1483915.81053903,36518.5667374731,91038.5147250233,216783.401278105
1329177.84986389,1831584.16497279,1940742.43285934,710847.95595397,702476.450059432,1461166.3795795,1242738.95747802,1838190.79530588,1276686.62264975,998523.863911321,524271.30695188,299042.22992123,498905.416366289,270127.385522437,112499.436280607,68343.2963405182,253800.326646462,221009.96896546,144991.007598274,233004.824479384,355269.711918103,323979.301201183,1566860.1704754,2689818.90574655,1202002.90587607,706544.735496319,130834.977333707,290727.992480458,88715.3561092399,780112.539679717,724920.299364487,948664.045457332,42898.289229965,116489.249649332,243138.837717966
1538758.63371002,1633583.76326559,2458958.00150079,658635.677760022,761655.735356502,1511665.90569235,1555625.56851863,2184725.52953661,1273865.84814339,872507.458492251,471613.190730804,284241.653260879,605195.557835245,313593.766460603,78705.6630582997,61010.3344276797,229892.282378011,247013.022090322,167872.846621755,265013.393037416,346271.758602973,301123.677839051,1192416.47548116,2730326.13324267,1236411.98489383,653499.982981981,129849.656886773,284204.285256081,100543.882837929,787445.280251312,1239479.02228001,1359869.17724084,29916.7626113208,197953.576644853,201433.414675086
1176493.3014586,1528223.47507353,1690266.24360671,785587.927524765,792370.807484051,1309301.48459125,1357022.90053004,2193264.14944415,1449457.72350797,876283.681683742,454779.579945231,284123.01473677,537595.79408207,263275.640001887,96912.0105137449,82638.7317743789,312640.132656806,230222.570642337,189258.15637449,209947.328899831,349290.470842827,260044.472225585,1187711.53647788,2718235.85340919,1300280.38288409,579265.291156942,176733.388131647,358178.336941829,139263.671419711,894209.446745213,1991554.11127202,1543361.91931054,48453.845660487,253133.431613296,235203.568319018
1450829.40110166,1494364.20096451,2441829.42969684,748018.415079964,797020.950900711,1363849.32513416,1374241.40747598,1885339.81798027,1248951.2528649,933476.149204233,463597.738428146,300222.814668351,460503.385706764,276251.858917835,97934.5766831338,72230.6724685848,245737.79556009,201720.766850982,151662.330075103,307400.579399579,349571.310692443,321396.571079206,1361722.08087502,2402253.46780826,1011139.79989345,466384.746524063,143144.140193427,260790.264925103,102466.669292594,835176.919381917,922889.996667541,1549624.1595273,46271.5073489809,109385.315599659,232221.911836799
1706284.64859094,1607602.03398945,1903724.71080014,935677.651469058,768052.445574624,1523259.2859869,1319991.12291211,2382095.85358598,1016565.28615344,936366.846019096,413598.519403945,274213.390234653,424122.186189738,270798.725739781,87105.6407378848,64260.3888521539,303654.387434955,241173.917884648,170809.858435607,253602.179660985,325029.973772775,315920.82268786,1421965.03352962,2681258.34455551,1420945.3361446,665057.888728155,131816.48241914,236271.931799853,123613.779955371,813027.743077221,1055596.01951148,1530158.97768728,47292.8897024656,99949.526714765,229218.005086278
