"","GIS_STATION","Lat","Long"
"205","L-09",58.6474851428571,-162.714494571429
"206","L-18",58.6669832335329,-168.498433486361
"207","L-19",58.6606443355028,-169.152180163762
"208","L-20",58.6658471582229,-169.788384720187
"209","L-21",58.6686386585055,-170.438356817138
"210","L-22",58.6659949911348,-171.081646641548
"211","L-23",58.6687354863035,-171.719012483841
"212","L-24",58.6718648789284,-172.369319698609
"213","L-25",58.6679475704378,-172.999655039012
"214","L-26",58.6681457240143,-173.633369379928
"215","L-27",58.6709036342857,-174.290313405714
"216","L-28",58.7324591911765,-174.894694007353
"217","L-29",58.6669563541667,-175.54281734375
"218","L-30",58.6699110928962,-176.200058087432
"219","L-31",58.66873325,-176.842433583333
"220","M-01",58.9995817675545,-167.896138595642
"221","M-02",59.0041753061224,-167.234775510204
"222","M-03",59.0017374285714,-166.584284571429
"223","M-04",59.0013425714286,-165.934851714286
"224","M-05",59.001968,-165.299437714286
"225","M-06",58.9952302857143,-164.652718857143
"226","M-07",59.0006442857143,-164.001519714286
"227","M-08",58.9916288235294,-163.355676470588
"228","M-18",58.9999726075269,-168.536530094086
"229","M-19",59.0026235131018,-169.184162340037
"230","M-20",59.0013189578631,-169.840699736644
"231","M-21",59.0048011476891,-170.483986363284
"232","M-22",58.9964758247482,-171.127698675773
"233","M-23",59.0006193348757,-171.784855896472
"234","M-24",59.0014199431248,-172.432959337571
"235","M-25",59.0007417610194,-173.082483260915
"236","M-26",59.00180680966,-173.72005411503
"237","M-27",59.0046160566706,-174.37100918536
"238","M-28",59.0003846065808,-174.984710615165
"239","M-29",58.9970531750742,-175.731883175074
"240","M-30",59.0013615811966,-176.311807179487
"241","M-31",59.0003612987013,-176.947248701299
"242","M-32",59.0000299166667,-177.58883575
"243","N-01",59.3333761577608,-167.926629211196
"244","N-02",59.3352797222222,-167.265581666667
"245","N-03",59.3363154285714,-166.602033714286
"246","N-04",59.3312254285714,-165.948304571429
"247","N-05",59.3280397058824,-165.314143235294
