"X","Y","L1","L2"
732.27549496818,6108.8091611037,1,1
731.830112619417,6109.26275823013,1,1
731.314774747399,6109.63754837482,1,1
730.685734913108,6110.04088712652,1,1
730.248396343543,6110.38277647928,1,1
729.64785982127,6110.90046804035,1,1
729.012419642641,6111.37857487774,1,1
728.415043065612,6111.85955156872,1,1
727.812016901577,6112.41518148621,1,1
726.723943605567,6113.45907026202,1,1
726.077683321739,6114.08625223794,1,1
725.352149031528,6114.78180503378,1,1
723.505162967144,6116.4446988606,1,1
722.817302952745,6117.14246485059,1,1
722.171152115952,6117.77018446918,1,1
721.447738823714,6118.4285670822,1,1
720.914616526904,6119.06293333232,1,1
720.794496744689,6119.17681017364,1,1
720.510978678727,6119.44559035504,1,1
720.025158457677,6119.9352430064,1,1
719.571736940671,6120.50048549562,1,1
719.128649292299,6120.91790850834,1,1
718.602579449217,6121.44140499885,1,1
718.072000623673,6122.03958207997,1,1
717.460377204599,6122.70617360518,1,1
716.937500142908,6123.19257549459,1,1
716.420375553262,6123.60318495917,1,1
715.825862394873,6124.04668075027,1,1
715.227798646022,6124.52701434276,1,1
714.667570491646,6125.01061932795,1,1
714.02186782399,6125.63675723152,1,1
713.536550063894,6126.12535310009,1,1
712.60477917121,6127.06792064988,1,1
712.162089233644,6127.48471691985,1,1
711.750758801554,6127.97909107132,1,1
711.172103105145,6128.72408620138,1,1
710.549500459091,6129.53934227688,1,1
709.642128622324,6130.67114897504,1,1
709.110966893836,6131.26896438293,1,1
708.579858550851,6131.86678470446,1,1
708.136983214426,6132.28431876909,1,1
707.530799506705,6132.87538756126,1,1
707.047693896601,6133.3276695206,1,1
706.571187132254,6133.70419690869,1,1
706.210344684148,6134.01386722408,1,1
705.773297894085,6134.3570403772,1,1
705.216173645238,6134.80270757519,1,1
704.551491987481,6135.16517884153,1,1
703.964942198851,6135.49689730891,1,1
703.309524316275,6135.74770031958,1,1
702.416562867889,6136.16801112039,1,1
701.76297748731,6136.38209443267,1,1
